# epoch, loss, accuracy
0.000000000000000000e+00 4.331210327148437500e+01 5.668789744377136230e-01
1.000000000000000000e+00 4.713375854492187500e+01 5.286624431610107422e-01
2.000000000000000000e+00 4.235668945312500000e+01 5.764331221580505371e-01
3.000000000000000000e+00 3.885350418090820312e+01 6.114649772644042969e-01
4.000000000000000000e+00 4.458598709106445312e+01 5.541401505470275879e-01
5.000000000000000000e+00 4.331210327148437500e+01 5.668789744377136230e-01
6.000000000000000000e+00 4.108280181884765625e+01 5.891720056533813477e-01
7.000000000000000000e+00 4.108280181884765625e+01 5.891720056533813477e-01
8.000000000000000000e+00 3.853503417968750000e+01 6.146497130393981934e-01
9.000000000000000000e+00 4.203821563720703125e+01 5.796178579330444336e-01
1.000000000000000000e+01 4.299362945556640625e+01 5.700637102127075195e-01
1.100000000000000000e+01 3.694267654418945312e+01 6.305732727050781250e-01
1.200000000000000000e+01 4.267515945434570312e+01 5.732483863830566406e-01
1.300000000000000000e+01 4.171974563598632812e+01 5.828025341033935547e-01
1.400000000000000000e+01 4.171974563598632812e+01 5.828025341033935547e-01
1.500000000000000000e+01 4.267515945434570312e+01 5.732483863830566406e-01
1.600000000000000000e+01 3.853503417968750000e+01 6.146497130393981934e-01
1.700000000000000000e+01 4.267515945434570312e+01 5.732483863830566406e-01
1.800000000000000000e+01 3.949044799804687500e+01 6.050955653190612793e-01
1.900000000000000000e+01 4.331210327148437500e+01 5.668789744377136230e-01
2.000000000000000000e+01 3.949044799804687500e+01 6.050955653190612793e-01
2.100000000000000000e+01 4.331210327148437500e+01 5.668789744377136230e-01
2.200000000000000000e+01 3.694267654418945312e+01 6.305732727050781250e-01
2.300000000000000000e+01 4.203821563720703125e+01 5.796178579330444336e-01
2.400000000000000000e+01 3.821656036376953125e+01 6.178343892097473145e-01
2.500000000000000000e+01 4.108280181884765625e+01 5.891720056533813477e-01
2.600000000000000000e+01 4.394904708862304688e+01 5.605095624923706055e-01
2.700000000000000000e+01 4.267515945434570312e+01 5.732483863830566406e-01
2.800000000000000000e+01 3.789809036254882812e+01 6.210191249847412109e-01
2.900000000000000000e+01 4.171974563598632812e+01 5.828025341033935547e-01
3.000000000000000000e+01 4.140127563476562500e+01 5.859872698783874512e-01
3.100000000000000000e+01 4.267515945434570312e+01 5.732483863830566406e-01
3.200000000000000000e+01 4.235668945312500000e+01 5.764331221580505371e-01
3.300000000000000000e+01 4.299362945556640625e+01 5.700637102127075195e-01
3.400000000000000000e+01 3.917197418212890625e+01 6.082802414894104004e-01
3.500000000000000000e+01 4.044586181640625000e+01 5.955414175987243652e-01
3.600000000000000000e+01 5.960702300071716309e-01 7.356687784194946289e-01
3.700000000000000000e+01 5.767011046409606934e-01 7.165605425834655762e-01
3.800000000000000000e+01 4.546948075294494629e-01 7.738853693008422852e-01
3.900000000000000000e+01 3.968968987464904785e-01 8.184713721275329590e-01
4.000000000000000000e+01 2.964113056659698486e-01 8.694267868995666504e-01
4.100000000000000000e+01 2.528367638587951660e-01 8.980891704559326172e-01
4.200000000000000000e+01 2.009732723236083984e-01 9.171974658966064453e-01
4.300000000000000000e+01 2.002344578504562378e-01 9.299362897872924805e-01
4.400000000000000000e+01 1.692897230386734009e-01 9.299362897872924805e-01
4.500000000000000000e+01 1.361157596111297607e-01 9.490445852279663086e-01
4.600000000000000000e+01 1.373170465230941772e-01 9.426751732826232910e-01
