# epoch, loss, accuracy
0.000000000000000000e+00 4.363057327270507812e+01 5.636942982673645020e-01
1.000000000000000000e+00 5.785555839538574219e-01 6.974522471427917480e-01
2.000000000000000000e+00 5.038568377494812012e-01 7.547770738601684570e-01
3.000000000000000000e+00 4.679196178913116455e-01 7.898089289665222168e-01
4.000000000000000000e+00 3.962318897247314453e-01 8.248407840728759766e-01
5.000000000000000000e+00 3.826779425144195557e-01 8.248407840728759766e-01
6.000000000000000000e+00 4.141215085983276367e-01 8.216560482978820801e-01
7.000000000000000000e+00 4.842923879623413086e-01 7.643312215805053711e-01
8.000000000000000000e+00 3.109705746173858643e-01 8.853503465652465820e-01
9.000000000000000000e+00 3.532750904560089111e-01 8.598726391792297363e-01
1.000000000000000000e+01 2.284423410892486572e-01 9.108280539512634277e-01
1.100000000000000000e+01 2.772911787033081055e-01 8.853503465652465820e-01
1.200000000000000000e+01 2.066924422979354858e-01 9.267516136169433594e-01
1.300000000000000000e+01 2.081162780523300171e-01 9.203822016716003418e-01
1.400000000000000000e+01 1.983781605958938599e-01 9.394904375076293945e-01
1.500000000000000000e+01 1.931613385677337646e-01 9.203822016716003418e-01
1.600000000000000000e+01 1.680317819118499756e-01 9.331210255622863770e-01
1.700000000000000000e+01 1.854291260242462158e-01 9.235668778419494629e-01
1.800000000000000000e+01 1.564411967992782593e-01 9.458599090576171875e-01
1.900000000000000000e+01 1.216577440500259399e-01 9.585987329483032227e-01
2.000000000000000000e+01 1.379431188106536865e-01 9.554140567779541016e-01
2.100000000000000000e+01 8.128885179758071899e-02 9.745222926139831543e-01
2.200000000000000000e+01 1.004180535674095154e-01 9.617834687232971191e-01
2.300000000000000000e+01 8.460772782564163208e-02 9.713376164436340332e-01
2.400000000000000000e+01 7.977817952632904053e-02 9.808917045593261719e-01
2.500000000000000000e+01 6.605277210474014282e-02 9.840764403343200684e-01
2.600000000000000000e+01 5.018911510705947876e-02 9.904458522796630859e-01
2.700000000000000000e+01 4.977224022150039673e-02 9.936305880546569824e-01
2.800000000000000000e+01 5.183820053935050964e-02 9.872611761093139648e-01
2.900000000000000000e+01 4.031465575098991394e-02 9.936305880546569824e-01
3.000000000000000000e+01 3.264623880386352539e-02 9.968153238296508789e-01
3.100000000000000000e+01 2.661430835723876953e-02 9.968153238296508789e-01
3.200000000000000000e+01 4.166190326213836670e-02 9.808917045593261719e-01
3.300000000000000000e+01 3.174207359552383423e-02 9.936305880546569824e-01
3.400000000000000000e+01 2.246157638728618622e-02 9.968153238296508789e-01
3.500000000000000000e+01 1.023405324667692184e-02 1.000000000000000000e+00
3.600000000000000000e+01 1.123572513461112976e-02 1.000000000000000000e+00
3.700000000000000000e+01 1.405408419668674469e-02 1.000000000000000000e+00
3.800000000000000000e+01 8.886926807463169098e-03 1.000000000000000000e+00
3.900000000000000000e+01 8.562766946852207184e-03 1.000000000000000000e+00
4.000000000000000000e+01 1.175387203693389893e-02 9.968153238296508789e-01
4.100000000000000000e+01 6.094525102525949478e-03 1.000000000000000000e+00
4.200000000000000000e+01 8.595141582190990448e-03 1.000000000000000000e+00
4.300000000000000000e+01 5.135348532348871231e-03 1.000000000000000000e+00
4.400000000000000000e+01 3.367621451616287231e-03 1.000000000000000000e+00
4.500000000000000000e+01 2.641166327521204948e-03 1.000000000000000000e+00
4.600000000000000000e+01 3.385775024071335793e-03 1.000000000000000000e+00
4.700000000000000000e+01 2.159052062779664993e-03 1.000000000000000000e+00
4.800000000000000000e+01 2.731743268668651581e-03 1.000000000000000000e+00
4.900000000000000000e+01 2.042442094534635544e-03 1.000000000000000000e+00
5.000000000000000000e+01 1.834804308600723743e-03 1.000000000000000000e+00
5.100000000000000000e+01 9.573101997375488281e-04 1.000000000000000000e+00
5.200000000000000000e+01 9.002112201415002346e-04 1.000000000000000000e+00
5.300000000000000000e+01 7.068648119457066059e-04 1.000000000000000000e+00
5.400000000000000000e+01 8.374554454348981380e-04 1.000000000000000000e+00
5.500000000000000000e+01 5.809689755551517010e-04 1.000000000000000000e+00
5.600000000000000000e+01 8.531924104318022728e-04 1.000000000000000000e+00
5.700000000000000000e+01 4.356875142548233271e-04 1.000000000000000000e+00
5.800000000000000000e+01 3.329145256429910660e-04 1.000000000000000000e+00
5.900000000000000000e+01 9.756314102560281754e-04 1.000000000000000000e+00
6.000000000000000000e+01 3.523966879583895206e-04 1.000000000000000000e+00
6.100000000000000000e+01 3.084617492277175188e-04 1.000000000000000000e+00
6.200000000000000000e+01 2.821808157023042440e-04 1.000000000000000000e+00
6.300000000000000000e+01 1.719745341688394547e-04 1.000000000000000000e+00
6.400000000000000000e+01 2.147207560483366251e-04 1.000000000000000000e+00
6.500000000000000000e+01 1.545758132124319673e-04 1.000000000000000000e+00
6.600000000000000000e+01 1.469255512347444892e-04 1.000000000000000000e+00
6.700000000000000000e+01 1.174738863483071327e-04 1.000000000000000000e+00
6.800000000000000000e+01 9.193912410410121083e-05 1.000000000000000000e+00
6.900000000000000000e+01 7.940040813991799951e-05 1.000000000000000000e+00
7.000000000000000000e+01 6.534724525408819318e-05 1.000000000000000000e+00
7.100000000000000000e+01 6.450635555665940046e-05 1.000000000000000000e+00
7.200000000000000000e+01 8.318651816807687283e-05 1.000000000000000000e+00
7.300000000000000000e+01 4.872995850746519864e-05 1.000000000000000000e+00
7.400000000000000000e+01 1.951242884388193488e-04 1.000000000000000000e+00
7.500000000000000000e+01 7.729756907792761922e-05 1.000000000000000000e+00
7.600000000000000000e+01 3.834325616480782628e-05 1.000000000000000000e+00
7.700000000000000000e+01 4.363319385447539389e-05 1.000000000000000000e+00
7.800000000000000000e+01 3.997293970314785838e-05 1.000000000000000000e+00
7.900000000000000000e+01 4.332518074079416692e-05 1.000000000000000000e+00
8.000000000000000000e+01 5.095380402053706348e-05 1.000000000000000000e+00
8.100000000000000000e+01 5.662994226440787315e-05 1.000000000000000000e+00
8.200000000000000000e+01 4.845562216360121965e-05 1.000000000000000000e+00
8.300000000000000000e+01 5.483370478032156825e-05 1.000000000000000000e+00
8.400000000000000000e+01 3.814086448983289301e-05 1.000000000000000000e+00
8.500000000000000000e+01 4.706150866695679724e-05 1.000000000000000000e+00
8.600000000000000000e+01 4.082138912053778768e-05 1.000000000000000000e+00
8.700000000000000000e+01 2.922682506323326379e-05 1.000000000000000000e+00
8.800000000000000000e+01 2.661148391780443490e-05 1.000000000000000000e+00
8.900000000000000000e+01 2.291615965077653527e-05 1.000000000000000000e+00
9.000000000000000000e+01 2.877717452065553516e-05 1.000000000000000000e+00
9.100000000000000000e+01 1.759961560310330242e-05 1.000000000000000000e+00
9.200000000000000000e+01 1.755757148202974349e-05 1.000000000000000000e+00
9.300000000000000000e+01 1.007462105917511508e-05 1.000000000000000000e+00
9.400000000000000000e+01 1.255539226531982422e+01 4.649681448936462402e-01
9.500000000000000000e+01 3.725332499016076326e-05 1.000000000000000000e+00
9.600000000000000000e+01 1.662311842665076256e-05 1.000000000000000000e+00
9.700000000000000000e+01 2.290632619406096637e-05 1.000000000000000000e+00
9.800000000000000000e+01 2.252500416943803430e-05 1.000000000000000000e+00
9.900000000000000000e+01 1.953393984877038747e-05 1.000000000000000000e+00
