# epoch, loss, accuracy
0.000000000000000000e+00 5.172202587127685547e-01 7.643312215805053711e-01
1.000000000000000000e+00 4.406829178333282471e-01 8.152866363525390625e-01
2.000000000000000000e+00 4.543803930282592773e-01 7.802547812461853027e-01
3.000000000000000000e+00 4.439451098442077637e-01 8.121019005775451660e-01
4.000000000000000000e+00 4.166614115238189697e-01 8.057324886322021484e-01
5.000000000000000000e+00 3.793256282806396484e-01 8.248407840728759766e-01
6.000000000000000000e+00 4.208288192749023438e-01 8.025478124618530273e-01
7.000000000000000000e+00 2.792730331420898438e-01 8.821656107902526855e-01
8.000000000000000000e+00 2.917215228080749512e-01 8.853503465652465820e-01
9.000000000000000000e+00 2.225853055715560913e-01 9.076433181762695312e-01
1.000000000000000000e+01 2.432386577129364014e-01 9.044586420059204102e-01
1.100000000000000000e+01 2.283203750848770142e-01 9.140127301216125488e-01
1.200000000000000000e+01 2.801650166511535645e-01 8.757961988449096680e-01
1.300000000000000000e+01 1.997218132019042969e-01 9.076433181762695312e-01
1.400000000000000000e+01 1.638187468051910400e-01 9.394904375076293945e-01
1.500000000000000000e+01 1.493213176727294922e-01 9.394904375076293945e-01
1.600000000000000000e+01 1.677669435739517212e-01 9.331210255622863770e-01
1.700000000000000000e+01 1.045562848448753357e-01 9.585987329483032227e-01
1.800000000000000000e+01 1.039903983473777771e-01 9.681528806686401367e-01
1.900000000000000000e+01 1.280676573514938354e-01 9.554140567779541016e-01
2.000000000000000000e+01 1.117314174771308899e-01 9.649681448936462402e-01
2.100000000000000000e+01 1.180747225880622864e-01 9.649681448936462402e-01
2.200000000000000000e+01 1.069832816720008850e-01 9.554140567779541016e-01
2.300000000000000000e+01 4.490799456834793091e-02 9.904458522796630859e-01
2.400000000000000000e+01 6.504693627357482910e-02 9.808917045593261719e-01
2.500000000000000000e+01 8.247130364179611206e-02 9.681528806686401367e-01
2.600000000000000000e+01 5.013027042150497437e-02 9.904458522796630859e-01
2.700000000000000000e+01 3.305157646536827087e-02 9.904458522796630859e-01
2.800000000000000000e+01 5.523325130343437195e-02 9.904458522796630859e-01
2.900000000000000000e+01 4.709227010607719421e-02 9.872611761093139648e-01
3.000000000000000000e+01 3.435279428958892822e-02 9.872611761093139648e-01
3.100000000000000000e+01 1.343226432800292969e-01 9.394904375076293945e-01
3.200000000000000000e+01 3.174134343862533569e-02 9.968153238296508789e-01
3.300000000000000000e+01 2.357212267816066742e-02 9.936305880546569824e-01
3.400000000000000000e+01 2.515675872564315796e-02 9.936305880546569824e-01
3.500000000000000000e+01 3.154441714286804199e-02 9.872611761093139648e-01
3.600000000000000000e+01 1.796926558017730713e-01 9.235668778419494629e-01
3.700000000000000000e+01 8.174327202141284943e-03 1.000000000000000000e+00
3.800000000000000000e+01 2.228166721761226654e-02 9.936305880546569824e-01
3.900000000000000000e+01 3.971511498093605042e-02 9.872611761093139648e-01
4.000000000000000000e+01 2.897432632744312286e-02 9.936305880546569824e-01
4.100000000000000000e+01 1.165149174630641937e-02 9.968153238296508789e-01
4.200000000000000000e+01 1.091219391673803329e-02 9.968153238296508789e-01
4.300000000000000000e+01 9.102907963097095490e-03 1.000000000000000000e+00
4.400000000000000000e+01 2.910903282463550568e-02 9.936305880546569824e-01
4.500000000000000000e+01 2.140030451118946075e-02 9.936305880546569824e-01
4.600000000000000000e+01 1.288547087460756302e-02 9.968153238296508789e-01
4.700000000000000000e+01 8.244768716394901276e-03 9.968153238296508789e-01
4.800000000000000000e+01 2.683689119294285774e-03 1.000000000000000000e+00
4.900000000000000000e+01 9.038738906383514404e-03 1.000000000000000000e+00
5.000000000000000000e+01 4.216094035655260086e-03 1.000000000000000000e+00
5.100000000000000000e+01 4.777468740940093994e-03 9.968153238296508789e-01
5.200000000000000000e+01 1.412915252149105072e-02 1.000000000000000000e+00
5.300000000000000000e+01 7.958245463669300079e-03 1.000000000000000000e+00
5.400000000000000000e+01 4.191154614090919495e-03 1.000000000000000000e+00
5.500000000000000000e+01 1.894174842163920403e-03 1.000000000000000000e+00
5.600000000000000000e+01 1.637715031392872334e-03 1.000000000000000000e+00
5.700000000000000000e+01 6.040134932845830917e-03 1.000000000000000000e+00
5.800000000000000000e+01 3.099448047578334808e-03 1.000000000000000000e+00
5.900000000000000000e+01 5.180875211954116821e-02 9.808917045593261719e-01
6.000000000000000000e+01 4.686293657869100571e-03 1.000000000000000000e+00
6.100000000000000000e+01 3.105807350948452950e-03 1.000000000000000000e+00
6.200000000000000000e+01 4.797922912985086441e-03 1.000000000000000000e+00
6.300000000000000000e+01 1.658256538212299347e-02 9.968153238296508789e-01
6.400000000000000000e+01 4.912086762487888336e-03 1.000000000000000000e+00
6.500000000000000000e+01 1.875738846138119698e-03 1.000000000000000000e+00
6.600000000000000000e+01 1.260581542737782001e-03 1.000000000000000000e+00
6.700000000000000000e+01 1.404201146215200424e-03 1.000000000000000000e+00
6.800000000000000000e+01 2.502345666289329529e-02 9.936305880546569824e-01
6.900000000000000000e+01 2.190191298723220825e-03 1.000000000000000000e+00
7.000000000000000000e+01 1.806832035072147846e-03 1.000000000000000000e+00
7.100000000000000000e+01 1.369254314340651035e-03 1.000000000000000000e+00
7.200000000000000000e+01 7.909760810434818268e-03 9.936305880546569824e-01
7.300000000000000000e+01 2.572453580796718597e-03 1.000000000000000000e+00
7.400000000000000000e+01 2.327988855540752411e-03 1.000000000000000000e+00
7.500000000000000000e+01 6.797580281272530556e-04 1.000000000000000000e+00
7.600000000000000000e+01 5.944473086856305599e-04 1.000000000000000000e+00
7.700000000000000000e+01 1.485315617173910141e-03 1.000000000000000000e+00
7.800000000000000000e+01 9.048262145370244980e-04 1.000000000000000000e+00
7.900000000000000000e+01 6.203299388289451599e-03 1.000000000000000000e+00
8.000000000000000000e+01 3.105710726231336594e-03 1.000000000000000000e+00
8.100000000000000000e+01 8.542821742594242096e-04 1.000000000000000000e+00
8.200000000000000000e+01 1.544162631034851074e-03 1.000000000000000000e+00
8.300000000000000000e+01 1.096986350603401661e-03 1.000000000000000000e+00
8.400000000000000000e+01 1.039366237819194794e-03 1.000000000000000000e+00
8.500000000000000000e+01 5.014685448259115219e-04 1.000000000000000000e+00
8.600000000000000000e+01 3.812351496890187263e-04 1.000000000000000000e+00
8.700000000000000000e+01 3.696831176057457924e-03 1.000000000000000000e+00
8.800000000000000000e+01 2.769439946860074997e-03 1.000000000000000000e+00
8.900000000000000000e+01 1.407151808962225914e-03 1.000000000000000000e+00
9.000000000000000000e+01 1.025460544042289257e-03 1.000000000000000000e+00
9.100000000000000000e+01 4.640312399715185165e-04 1.000000000000000000e+00
9.200000000000000000e+01 6.230112630873918533e-04 1.000000000000000000e+00
9.300000000000000000e+01 7.518241764046251774e-04 1.000000000000000000e+00
9.400000000000000000e+01 4.737124254461377859e-04 1.000000000000000000e+00
9.500000000000000000e+01 5.729655623435974121e-01 8.726114630699157715e-01
