# epoch, loss, accuracy
0.000000000000000000e+00 5.053949356079101562e-01 7.515923976898193359e-01
1.000000000000000000e+00 4.552669227123260498e-01 7.866241931915283203e-01
2.000000000000000000e+00 4.195011556148529053e-01 8.121019005775451660e-01
3.000000000000000000e+00 3.925126194953918457e-01 8.089172244071960449e-01
4.000000000000000000e+00 2.572524249553680420e-01 8.853503465652465820e-01
5.000000000000000000e+00 4.279130101203918457e-01 7.993630766868591309e-01
6.000000000000000000e+00 2.785957455635070801e-01 8.853503465652465820e-01
7.000000000000000000e+00 3.168338537216186523e-01 8.694267868995666504e-01
8.000000000000000000e+00 2.253807187080383301e-01 8.853503465652465820e-01
9.000000000000000000e+00 1.418843269348144531e-01 9.458599090576171875e-01
1.000000000000000000e+01 1.134049966931343079e-01 9.617834687232971191e-01
1.100000000000000000e+01 1.093230992555618286e-01 9.681528806686401367e-01
1.200000000000000000e+01 3.091517686843872070e-01 8.630573153495788574e-01
1.300000000000000000e+01 8.362276852130889893e-02 9.745222926139831543e-01
1.400000000000000000e+01 5.871192738413810730e-02 9.808917045593261719e-01
1.500000000000000000e+01 6.379808485507965088e-02 9.840764403343200684e-01
1.600000000000000000e+01 1.915967836976051331e-02 1.000000000000000000e+00
1.700000000000000000e+01 1.920368708670139313e-02 9.936305880546569824e-01
1.800000000000000000e+01 1.046886574476957321e-02 1.000000000000000000e+00
1.900000000000000000e+01 7.874135859310626984e-03 1.000000000000000000e+00
2.000000000000000000e+01 2.998338313773274422e-03 1.000000000000000000e+00
2.100000000000000000e+01 1.652589812874794006e-02 9.968153238296508789e-01
2.200000000000000000e+01 8.818511269055306911e-04 1.000000000000000000e+00
2.300000000000000000e+01 1.939978636801242828e-02 9.936305880546569824e-01
2.400000000000000000e+01 6.023003719747066498e-03 1.000000000000000000e+00
2.500000000000000000e+01 2.109255408868193626e-03 1.000000000000000000e+00
2.600000000000000000e+01 6.338450475595891476e-04 1.000000000000000000e+00
2.700000000000000000e+01 3.171377175021916628e-04 1.000000000000000000e+00
2.800000000000000000e+01 1.929335703607648611e-04 1.000000000000000000e+00
2.900000000000000000e+01 2.992013469338417053e-04 1.000000000000000000e+00
3.000000000000000000e+01 8.349584043025970459e-02 9.681528806686401367e-01
3.100000000000000000e+01 7.504623383283615112e-03 9.968153238296508789e-01
3.200000000000000000e+01 1.634764834307134151e-03 1.000000000000000000e+00
3.300000000000000000e+01 8.191438973881304264e-04 1.000000000000000000e+00
3.400000000000000000e+01 4.548183351289480925e-04 1.000000000000000000e+00
3.500000000000000000e+01 2.597387356217950583e-04 1.000000000000000000e+00
3.600000000000000000e+01 2.359428035560995340e-04 1.000000000000000000e+00
3.700000000000000000e+01 1.116360581363551319e-04 1.000000000000000000e+00
3.800000000000000000e+01 4.899774648947641253e-05 1.000000000000000000e+00
3.900000000000000000e+01 6.529507663799449801e-05 1.000000000000000000e+00
4.000000000000000000e+01 9.722331538796424866e-03 9.968153238296508789e-01
4.100000000000000000e+01 2.385969506576657295e-03 1.000000000000000000e+00
4.200000000000000000e+01 2.276746090501546860e-04 1.000000000000000000e+00
4.300000000000000000e+01 2.783447271212935448e-04 1.000000000000000000e+00
4.400000000000000000e+01 3.480270679574459791e-04 1.000000000000000000e+00
4.500000000000000000e+01 1.445760863134637475e-04 1.000000000000000000e+00
4.600000000000000000e+01 1.146483991760760546e-04 1.000000000000000000e+00
4.700000000000000000e+01 1.041279901983216405e-04 1.000000000000000000e+00
4.800000000000000000e+01 2.349772024899721146e-03 9.968153238296508789e-01
4.900000000000000000e+01 8.114426600513979793e-05 1.000000000000000000e+00
5.000000000000000000e+01 4.624811117537319660e-05 1.000000000000000000e+00
